Species,Length,Weight
Scriptaphyosemion etzeli,4.5,NA
Scriptaphyosemion fredrodi,4.25,NA
Scriptaphyosemion geryi,5,NA
Scriptaphyosemion guignardi,6,NA
Scriptaphyosemion liberiense,6,NA
Scriptaphyosemion nigrifluvi,4.5,NA
Scriptaphyosemion roloffi,5,NA
Scriptaphyosemion schmitti,4.5,NA
Scriptaphyosemion wieseae,4.13,NA
Scuticaria okinawae,90.5,NA
Scuticaria tigrina,140,NA
Scyliorhinus besnardi,47,NA
Scyliorhinus boa,54,NA
Scyliorhinus cabofriensis,46.8,NA
Scyliorhinus canicula,100,1320
Scyliorhinus capensis,122,NA
Scyliorhinus cervigoni,67,NA
Scyliorhinus comoroensis,NA,NA
Scyliorhinus garmani,38,NA
Scyliorhinus haeckelii,60,NA
Scyliorhinus hesperius,NA,NA
Scyliorhinus meadi,49,NA
Scyliorhinus retifer,48,NA
Scyliorhinus stellaris,170,NA
Scyliorhinus tokubee,41.3,NA
Scyliorhinus torazame,50,NA
Scyliorhinus torrei,32,NA
Scyliorhinus ugoi,53.4,NA
Scylliogaleus quecketti,89,NA
Scymnodalatias albicauda,111,NA
Scymnodalatias garricki,NA,NA
Scymnodalatias oligodon,NA,NA
Scymnodalatias sherwoodi,80.3,NA
Scymnodon ichiharai,NA,NA
Scymnodon ringens,110,NA
Scytalichthys miurus,97,NA
Scytalina cerdale,15,NA
Searsia koefoedi,15,NA
Searsioides calvala,9.3,NA
Searsioides multispinus,11.8,NA
Sebastapistes ballieui,11.7,NA
Sebastapistes coniorta,10,NA
Sebastapistes cyanostigma,10,NA
Sebastapistes fowleri,4.7,NA
Sebastapistes galactacma,4.9,NA
Sebastapistes mauritiana,9.5,NA
Sebastapistes nuchalis,10.16,NA
Sebastapistes strongia,9.5,NA
Sebastapistes taeniophrys,2.5,NA
Sebastapistes tinkhami,10,NA
Sebastes aleutianus,97,900
Sebastes alutus,53,2100
Sebastes atrovirens,42,NA
Sebastes auriculatus,56,NA
Sebastes aurora,41,NA
Sebastes babcocki,64,4440
Sebastes baramenuke,40,NA
Sebastes borealis,108,16240
Sebastes brevispinis,71,4710
Sebastes capensis,37,NA
Sebastes carnatus,39,NA
Sebastes caurinus,58,2740
Sebastes chlorostictus,50,1010
Sebastes chrysomelas,39,NA
Sebastes ciliatus,53,1810
Sebastes constellatus,46,1040
Sebastes cortezi,25.5,NA
Sebastes crameri,58,NA
Sebastes dallii,25,NA
Sebastes diaconus,33,NA
Sebastes diploproa,46,810
Sebastes elongatus,39,630
Sebastes emphaeus,18,NA
Sebastes ensifer,30,NA
Sebastes entomelas,60,NA
Sebastes eos,56,2440
Sebastes exsul,21.2,NA
Sebastes fasciatus,30,NA
Sebastes flammeus,50,NA
Sebastes flavidus,66,2510
Sebastes gilli,71,4960
Sebastes glaucus,50,NA
Sebastes goodei,56,1540
Sebastes helvomaculatus,41,NA
Sebastes hopkinsi,29,NA
Sebastes hubbsi,15.6,NA
Sebastes ijimae,NA,NA
Sebastes inermis,35.9,800
Sebastes iracundus,60,NA
Sebastes itinus,40,NA
Sebastes jordani,32,NA
Sebastes joyneri,NA,NA
Sebastes kiyomatsui,21.56,NA
Sebastes koreanus,13.7,NA
Sebastes lentiginosus,23,NA
Sebastes levis,100,13000
Sebastes longispinis,18.8,NA
Sebastes macdonaldi,66,2720
Sebastes maliger,61,3280
Sebastes matsubarai,60,NA
Sebastes melanops,63,4800
Sebastes melanosema,20,NA
Sebastes melanostictus,53.9,NA
Sebastes melanostomus,61,3530
Sebastes mentella,77.5,NA
Sebastes miniatus,91,6800
Sebastes minor,20,NA
Sebastes moseri,NA,NA
Sebastes mystinus,61,3790
Sebastes nebulosus,45,1670
Sebastes nigrocinctus,61,2220
Sebastes nivosus,35,NA
Sebastes norvegicus,100,15000
Sebastes notius,NA,NA
Sebastes nudus,23.7,NA
Sebastes oblongus,35,NA
Sebastes oculatus,40.8,NA
Sebastes ovalis,56,950
Sebastes owstoni,25,NA
Sebastes pachycephalus,42,1560
Sebastes paucispinis,91,9630
Sebastes peduncularis,NA,NA
Sebastes phillipsi,43,1220
Sebastes pinniger,76,4530
Sebastes polyspinis,41,NA
Sebastes proriger,61,NA
Sebastes rastrelliger,56,NA
Sebastes reedi,58,NA
Sebastes rosaceus,36,NA
Sebastes rosenblatti,48,NA
Sebastes ruberrimus,104,17820
Sebastes rubrivinctus,51,1450
Sebastes rufinanus,17,NA
Sebastes rufus,54,1980
Sebastes saxicola,38,NA
Sebastes schlegelii,65,3140
Sebastes scythropus,25,NA
Sebastes semicinctus,25,NA
Sebastes serranoides,61,1630
Sebastes serriceps,41,NA
Sebastes simulator,30,NA
Sebastes sinensis,15.2,NA
Sebastes spinorbis,NA,NA
Sebastes steindachneri,37,NA
Sebastes taczanowskii,32,NA
Sebastes thompsoni,30,NA
Sebastes trivittatus,62,4700
Sebastes umbrosus,29.8,570
Sebastes variabilis,43.08,NA
Sebastes variegatus,38,NA
Sebastes varispinis,NA,NA
Sebastes ventricosus,NA,NA
Sebastes viviparus,66.5,1000
Sebastes vulpes,43,1180
Sebastes wakiyai,24,NA
Sebastes wilsoni,23,NA
Sebastes zacentrus,39,NA
Sebastes zonatus,37,NA
Sebastiscus albofasciatus,25,NA
Sebastiscus marmoratus,36.2,2800
Sebastiscus tertius,37,NA
Sebastolobus alascanus,80,9000
Sebastolobus altivelis,39,NA
Sebastolobus macrochir,44,1150
Sectoria atriceps,4.34,NA
Sectoria heterognathos,10,NA
Securicula gora,24.5,NA
Secutor hanedai,9.1,12.77
Secutor indicius,8.8,NA
Secutor insidiator,11.3,NA
Secutor interruptus,6.4,NA
Secutor mazavasaoka,10.94,NA
Secutor megalolepis,7.5,8.39
Secutor ruconius,8,NA
Selachophidium guentheri,30,NA
Selar boops,25,NA
Selar crumenophthalmus,70,NA
Selaroides leptolepis,22,625
Selenanthias analis,13,NA
Selenanthias barroi,13.3,NA
Selenanthias myersi,8.7,NA
Selene brevoortii,38,NA
Selene brownii,29,119.3
Selene dorsalis,40,1500
Selene orstedii,33,NA
Selene peruviana,40,NA
Selene setapinnis,60,4600
Selene spixii,NA,NA
Selene vomer,48.3,2100
Seleniolycus laevifasciatus,21,NA
Seleniolycus pectoralis,38,NA
Seleniolycus robertsi,NA,NA
Selenoscopus turbisquamatus,29.1,NA
Selenotoca multifasciata,40,NA
Selenotoca papuensis,9,NA
Semaprochilodus brama,54,2590
Semaprochilodus insignis,27.5,560.08
Semaprochilodus kneri,28,NA
Semaprochilodus laticeps,44,NA
Semaprochilodus taeniurus,27.2,605.5
Semaprochilodus varii,28,NA
Semicossyphus darwini,70,4000
Semicossyphus pulcher,91,16000
Semicossyphus reticulatus,100,14660
Semilabeo notabilis,44,2000
Semilabeo obscurus,28.2,NA
Seminemacheilus ispartensis,5.7,NA
Seminemacheilus lendlii,9,NA
Semiplotus cirrhosus,4.1,NA
Semiplotus manipurensis,18.5,NA
Semiplotus modestus,20,NA
Semotilus atromaculatus,30.3,NA
Semotilus corporalis,51,1610
Semotilus lumbee,24,NA
Semotilus thoreauianus,15,NA
Seriola carpenteri,72.5,NA
Seriola dumerili,190,80600
Seriola fasciata,67.5,4600
Seriola hippos,150,53100
Seriola lalandi,250,96840
Seriola peruana,57,NA
Seriola quinqueradiata,150,40000
Seriola rivoliana,160,59870
Seriola zonata,75,5200
Seriolella brama,76,4000
Seriolella caerulea,65,6000
Seriolella porosa,44,NA
Seriolella punctata,66,NA
Seriolella tinro,NA,NA
Seriolella violacea,65,NA
Seriolina nigrofasciata,70,5200
Seriphus politus,30,NA
Serpenticobitis cingulata,3.86,NA
Serpenticobitis octozona,5.4,NA
Serpenticobitis zonata,4.3,NA
Serrabrycon magoi,3.16,NA
Serraniculus pumilio,7.5,NA
Serranochromis altus,56,3850
Serranochromis angusticeps,41,2500
Serranochromis jallae,39.6,NA
Serranochromis janus,35,NA
Serranochromis longimanus,30,NA
Serranochromis macrocephalus,35,1500
Serranochromis meridianus,37,1200
Serranochromis robustus,56,6123
Serranochromis spei,30.4,NA
Serranochromis stappersi,25.5,NA
Serranochromis thumbergi,33,1200
Serranocirrhitus latus,13,NA
Serranus accraensis,20,NA
Serranus aequidens,20,NA
Serranus africanus,14,NA
Serranus aliceae,6.71,NA
Serranus annularis,9,NA
Serranus atricauda,43.2,NA
Serranus atrobranchus,19,NA
Serranus baldwini,12,NA
Serranus cabrilla,40,NA
Serranus chionaraia,5,NA
Serranus drewesi,6.5,NA
Serranus flaviventris,8,NA
Serranus hepatus,25,NA
Serranus heterurus,NA,NA
Serranus huascarii,NA,NA
Serranus inexpectatus,9.2,NA
Serranus luciopercanus,12,NA
Serranus maytagi,NA,NA
Serranus notospilus,10,NA
Serranus novemcinctus,32,NA
Serranus phoebe,20,NA
Serranus psittacinus,18,NA
Serranus pulcher,7.8,NA
Serranus sanctaehelenae,NA,NA
Serranus scriba,36,NA
Serranus socorroensis,8,NA
Serranus stilbostigma,NA,NA
Serranus subligarius,10,NA
Serranus tabacarius,22,NA
Serranus tico,8.5,NA
Serranus tigrinus,29,NA
Serranus tortugarum,8,NA
Serrapinnus aster,3.32,NA
Serrapinnus calliurus,4.4,NA
Serrapinnus gracilis,2.35,NA
Serrapinnus heterodon,4.3,NA
Serrapinnus kriegi,2.36,NA
Serrapinnus lucindai,2.96,NA
Serrapinnus microdon,4.2,NA
Serrapinnus micropterus,2.63,NA
Serrapinnus notomelas,3.56,NA
Serrapinnus piaba,4.2,NA
Serrapinnus potiguar,3.23,NA
Serrapinnus sterbai,3.54,NA
Serrapinnus tocantinensis,3.98,NA
Serrapinnus zanatae,3.94,NA
Serrasalmus altispinis,19,NA
Serrasalmus altuvei,17.3,NA
Serrasalmus auriventris,NA,NA
Serrasalmus brandtii,21.2,NA
Serrasalmus compressus,19,NA
Serrasalmus eigenmanni,35,394
Serrasalmus elongatus,30,NA
Serrasalmus emarginatus,NA,NA
Serrasalmus geryi,18.1,NA
Serrasalmus gibbus,25.5,NA
Serrasalmus gouldingi,27.94,NA
Serrasalmus hastatus,15.45,NA
Serrasalmus hollandi,18.5,NA
Serrasalmus humeralis,20,NA
Serrasalmus irritans,13.8,NA
Serrasalmus maculatus,26.4,420
Serrasalmus manueli,36,2500
Serrasalmus marginatus,27.1,440
Serrasalmus medinai,14.8,NA
Serrasalmus nalseni,12.6,NA
Serrasalmus neveriensis,18,NA
Serrasalmus nigricans,NA,NA
Serrasalmus nigricauda,NA,NA
Serrasalmus odyssei,16.72,NA
Serrasalmus rhombeus,41.5,3000
Serrasalmus sanchezi,11.4,NA
Serrasalmus scotopterus,NA,NA
Serrasalmus serrulatus,19,NA
Serrasalmus spilopleura,25,NA
Serrasalmus stagnatilis,NA,NA
Serrasalmus undulatus,NA,NA
Serrivomer beanii,78,NA
Serrivomer bertini,NA,NA
Serrivomer garmani,NA,NA
Serrivomer jesperseni,67,NA
Serrivomer lanceolatoides,65,NA
Serrivomer samoensis,63,NA
Serrivomer schmidti,65.7,NA
Serrivomer sector,76,NA
Setarches armata,NA,NA
Setarches guentheri,31.4,670.9
Setarches longimanus,18,NA
Setipinna breviceps,24,NA
Setipinna brevifilis,26,NA
Setipinna melanochir,33,NA
Setipinna paxtoni,11,NA
Setipinna phasa,40,NA
Setipinna taty,15.3,NA
Setipinna tenuifilis,22,NA
Setipinna wheeleri,30,NA
Sewellia albisuera,6.4,NA
Sewellia analis,NA,NA
Sewellia breviventralis,5.07,NA
Sewellia diardi,7.18,NA
Sewellia elongata,7.3,NA
Sewellia lineolata,5.66,NA
Sewellia marmorata,5.89,NA
Sewellia medius,NA,NA
Sewellia patella,4.82,NA
Sewellia pterolineata,4.41,NA
Sewellia songboensis,NA,NA
Sewellia speciosa,5.37,NA
Sewellia trakhucensis,NA,NA
Sicamugil cascasia,10,NA
Sicamugil hamiltonii,12,NA
Sicyases brevirostris,NA,NA
Sicyases hildebrandi,NA,NA
Sicyases sanguineus,8.4,NA
Sicydium adelum,14,NA
Sicydium altum,14,NA
Sicydium brevifile,10.5,NA
Sicydium buscki,6,NA
Sicydium bustamantei,100,NA
Sicydium cocoensis,NA,NA
Sicydium crenilabrum,8.1,NA
Sicydium fayae,NA,NA
Sicydium gilberti,NA,NA
Sicydium gymnogaster,NA,NA
Sicydium hildebrandi,11,NA
Sicydium montanum,1,NA
Sicydium multipunctatum,NA,NA
Sicydium plumieri,11,NA
Sicydium punctatum,8,NA
Sicydium rosenbergii,11,NA
Sicydium salvini,14,NA
Sicyopterus aiensis,15,NA
Sicyopterus brevis,NA,NA
Sicyopterus calliochromus,5.82,NA
Sicyopterus caudimaculatus,9.9,NA
Sicyopterus crassus,12.8,NA
Sicyopterus cynocephalus,16.5,NA
Sicyopterus erythropterus,6.8,NA
Sicyopterus eudentatus,10.15,NA
Sicyopterus fasciatus,15,NA
Sicyopterus franouxi,13.1,NA
Sicyopterus fuliag,NA,NA
Sicyopterus griseus,9.7,NA
Sicyopterus hageni,7.5,NA
Sicyopterus japonicus,NA,NA
Sicyopterus lacrymosus,6.8,NA
Sicyopterus lagocephalus,13,NA
Sicyopterus laticeps,NA,NA
Sicyopterus lengguru,NA,NA
Sicyopterus lividus,6,NA
Sicyopterus longifilis,9.7,NA
Sicyopterus macrostetholepis,10.3,NA
Sicyopterus marquesensis,NA,NA
Sicyopterus microcephalus,11.2,NA
Sicyopterus micrurus,9.5,NA
Sicyopterus ocellaris,4.1,NA
Sicyopterus ouwensi,10,NA
Sicyopterus panayensis,NA,NA
Sicyopterus parvei,11.9,NA
Sicyopterus pugnans,7.2,NA
Sicyopterus punctissimus,12.19,NA
Sicyopterus rapa,7.47,NA
Sicyopterus sarasini,12,NA
Sicyopterus squamosissimus,NA,NA
Sicyopterus stimpsoni,19.8,NA
Sicyopterus stiphodonoides,3.27,NA
Sicyopterus wichmanni,NA,NA
Sicyopus auxilimentus,2.92,NA
Sicyopus cebuensis,3.75,NA
Sicyopus discordipinnis,3.01,NA
Sicyopus exallisquamulus,5.13,NA
Sicyopus jonklaasi,4.5,NA
Sicyopus lord,3.92,NA
Sicyopus multisquamatus,4.62,NA
Sicyopus nigriradiatus,5.6,NA
Sicyopus rubicundus,4.7,NA
Sicyopus zosterophorus,4.5,NA
Sierrathrissa leonensis,3,NA
Siganus argenteus,40,NA
Siganus canaliculatus,40,NA
Siganus corallinus,35,NA
Siganus doliatus,25,NA
Siganus fuscescens,40,NA
Siganus guttatus,42,NA
Siganus insomnis,35,NA
Siganus javus,53,NA
Siganus labyrinthodes,25,NA
Siganus lineatus,43,NA
Siganus luridus,30,NA
Siganus magnificus,24,NA
Siganus niger,22,NA
Siganus puelloides,31,NA
Siganus puellus,38,NA
Siganus punctatissimus,35,NA
Siganus punctatus,40,NA
Siganus randalli,33.5,824
Siganus rivulatus,27,NA
Siganus spinus,28,NA
Siganus stellatus,40,NA
Siganus sutor,45,NA
Siganus trispilos,25,NA
Siganus unimaculatus,20,NA
Siganus uspi,24,NA
Siganus vermiculatus,45,NA
Siganus virgatus,30,NA
Siganus vulpinus,25,NA
Siganus woodlandi,NA,NA
Sigmistes caulias,NA,NA
Sigmistes smithi,4.29,NA
Sigmops bathyphilus,15,NA
Sigmops ebelingi,9.7,NA
Sigmops elongatus,27.5,NA
Sigmops gracilis,13.32,NA
Sigmops longipinnis,NA,NA
Signigobius biocellatus,10,NA
Sikukia flavicaudata,15,NA
Sikukia gudgeri,18,NA
Sikukia longibarbata,NA,NA
Sikukia stejnegeri,12,NA
Silhouettea aegyptia,5,NA
Silhouettea capitlineata,1.61,NA
Silhouettea chaimi,NA,NA
Silhouettea dotui,4,NA
Silhouettea evanida,NA,NA
Silhouettea hoesei,3.5,NA
Silhouettea indica,3.5,NA
Silhouettea insinuans,4.5,NA
Silhouettea nuchipunctatus,NA,NA
Silhouettea sibayi,4,NA
Sillaginodes punctatus,72,4800
Sillaginopodys chondropus,35,NA
Sillaginops macrolepis,20,NA
Sillaginopsis panijus,44,NA
Sillago aeolus,30,NA
Sillago analis,45,NA
Sillago arabica,22,87
Sillago argentifasciata,NA,NA
Sillago asiatica,15,NA
Sillago attenuata,20,NA
Sillago bassensis,33,NA
Sillago boutani,20,NA
Sillago burrus,36,NA
Sillago caudicula,14.86,NA
Sillago ciliata,51,1400
Sillago flindersi,32,NA
Sillago indica,34,NA
Sillago ingenuua,20,NA
Sillago intermedius,20,NA
Sillago japonica,30,NA
Sillago lutea,16,NA
Sillago maculata,30,NA
Sillago megacephalus,15.8,NA
Sillago microps,20,NA
Sillago nierstraszi,25,NA
Sillago parvisquamis,30,NA
Sillago robusta,30,NA
Sillago schomburgkii,42,NA
Sillago sihama,31,NA
Sillago sinica,15.737,NA
Sillago soringa,15,NA
Sillago suezensis,1.85,NA
Sillago vincenti,30,NA
Sillago vittata,30,NA
Silonia childreni,48,NA
Silonia silondia,183,NA
Siluranodon auritus,14,NA
Silurichthys citatus,7.95,NA
Silurichthys gibbiceps,8.44,NA
Silurichthys hasseltii,11,NA
Silurichthys indragiriensis,10.54,NA
Silurichthys ligneolus,5.53,NA
Silurichthys marmoratus,10.36,NA
Silurichthys phaiosoma,15,NA
Silurichthys sanguineus,4.1,NA
Silurichthys schneideri,16,NA
Silurus aristotelis,46,NA
Silurus asotus,130,30000
Silurus biwaensis,118,17200
Silurus chantrei,NA,NA
Silurus duanensis,NA,NA
Silurus glanis,500,306000
Silurus grahami,42.6,NA
Silurus lanzhouensis,100,NA
Silurus lithophilus,58,1500
Silurus mento,38,NA
Silurus meridionalis,114.2,8501.5
Silurus microdorsalis,35,NA
Silurus soldatovi,400,40000
Silurus triostegus,99,8500
Silvinichthys bortayro,2.77,NA
Silvinichthys gualcamayo,5.1,NA
Silvinichthys huachi,3.02,NA
Silvinichthys leoncitensis,5.82,NA
Silvinichthys mendozensis,7.3,NA
Silvinichthys pachonensis,5.82,NA
Simenchelys parasitica,61,NA
Similiparma hermani,16,NA
Similiparma lurida,15,NA
Simipercis trispinosa,13.5,NA
Simochromis diagramma,19.5,NA
Simpsonichthys alternatus,3.88,NA
Simpsonichthys boitonei,5.5,NA
Simpsonichthys bokermanni,6.5,NA
Simpsonichthys cholopteryx,NA,NA
Simpsonichthys constanciae,6,NA
Simpsonichthys delucai,2.8,NA
Simpsonichthys fasciatus,NA,NA
Simpsonichthys gibberatus,NA,NA
Simpsonichthys margaritatus,NA,NA
Simpsonichthys marginatus,6,NA
Simpsonichthys multiradiatus,4.64,NA
Simpsonichthys nielseni,NA,NA
Simpsonichthys nigromaculatus,2.56,NA
Simpsonichthys ocellatus,5,NA
Simpsonichthys parallelus,2.26,NA
Simpsonichthys perpendicularis,6,NA
Simpsonichthys punctulatus,2.91,NA
Simpsonichthys rosaceus,5,NA
Simpsonichthys rufus,5,NA
Simpsonichthys santanae,3,NA
Simpsonichthys similis,6,NA
Simpsonichthys stellatus,6,NA
Simpsonichthys suzarti,NA,NA
Simpsonichthys trilineatus,6,NA
Simpsonichthys virgulatus,NA,NA
Simpsonichthys zonatus,5,NA
Sindoscopus australis,NA,NA
Sineleotris chalmersi,15,NA
Sineleotris namxamensis,8,NA
Sineleotris saccharae,10,NA
Sinibotia longiventralis,10.55,NA
Sinibotia pulchra,10,6.2
Sinibotia reevesae,9.45,NA
Sinibotia robusta,18,NA
Sinibotia superciliaris,16.4,43.1
Sinibotia zebra,14.3,NA
Sinibrama affinis,NA,NA
Sinibrama longianalis,17.16,NA
Sinibrama macrops,22.7,128.4
Sinibrama melrosei,18.3,155.4
Sinibrama taeniatus,14.8,NA
Sinibrama wui,20.4,NA
Sinigarra napoense,8.73,NA
Sinilabeo binhluensis,NA,NA
Sinilabeo brevirostris,NA,NA
Sinilabeo cirrhinoides,28.5,NA
Sinilabeo hummeli,19.5,NA
Sinilabeo longibarbatus,NA,NA
Sinilabeo longirostris,NA,NA
Siniperca chuatsi,70,8000
Siniperca fortis,NA,NA
Siniperca knerii,35.5,739.8
Siniperca liuzhouensis,NA,NA
Siniperca obscura,NA,NA
Siniperca roulei,20,NA
Siniperca scherzeri,37.4,607.3
Siniperca undulata,15,NA
Siniperca vietnamensis,NA,NA
Sinobatis andamanensis,37.9,NA
Sinobatis borneensis,39.9,NA
Sinobatis brevicauda,NA,NA
Sinobatis bulbicauda,43.3,NA
Sinobatis caerulea,69,NA
Sinobatis filicauda,55,NA
Sinobatis kotlyari,33.1,NA
Sinobatis melanosoma,59,NA
Sinobatis stenosoma,NA,NA
Sinobdella sinensis,21.1,NA
Sinocrossocheilus bamaensis,19.2,94.7
Sinocrossocheilus guizhouensis,7.9,NA
Sinocrossocheilus labiatus,7.27,NA
Sinocrossocheilus megalophthalmus,NA,NA
Sinocyclocheilus altishoulderus,22,NA
Sinocyclocheilus anatirostris,12.9,NA
Sinocyclocheilus angularis,6.7,NA
Sinocyclocheilus angustiporus,13.81,NA
Sinocyclocheilus anophthalmus,8.8,NA
Sinocyclocheilus anshuiensis,10.03,NA
Sinocyclocheilus aquihornes,NA,NA
Sinocyclocheilus biangularis,NA,NA
Sinocyclocheilus bicornutus,NA,NA
Sinocyclocheilus brevibarbatus,16.83,NA
Sinocyclocheilus brevifinus,11.11,NA
Sinocyclocheilus brevis,12,NA
Sinocyclocheilus broadihornes,NA,NA
Sinocyclocheilus cyphotergous,12.2,NA
Sinocyclocheilus donglanensis,12.39,NA
Sinocyclocheilus dongtangensis,16.712,NA
Sinocyclocheilus flexuosdorsalis,NA,NA
Sinocyclocheilus furcodorsalis,8.8,NA
Sinocyclocheilus gracilicaudatus,9.47,NA
Sinocyclocheilus gracilis,11.12,NA
Sinocyclocheilus grahami,23,250
Sinocyclocheilus guanduensis,NA,NA
Sinocyclocheilus guilinensis,13.65,NA
Sinocyclocheilus guishanensis,10.6,NA
Sinocyclocheilus hei,NA,NA
Sinocyclocheilus huanglongdongensis,NA,NA
Sinocyclocheilus huangtianensis,9.14,NA
Sinocyclocheilus huaningensis,NA,NA
Sinocyclocheilus huanjiangensis,NA,NA
Sinocyclocheilus hugeibarbus,NA,NA
Sinocyclocheilus huizeensis,10.24,NA
Sinocyclocheilus hyalinus,8.5,NA
Sinocyclocheilus jii,15.99,23.7
Sinocyclocheilus jinxiensis,12.37,NA
Sinocyclocheilus jiuxuensis,13.61,NA
Sinocyclocheilus lateristriatus,NA,NA
Sinocyclocheilus liboensis,13.5,NA
Sinocyclocheilus lingyunensis,NA,NA
Sinocyclocheilus longibarbatus,13.6,NA
Sinocyclocheilus longifinus,NA,NA
Sinocyclocheilus luolouensis,14.76,NA
Sinocyclocheilus luopingensis,NA,NA
Sinocyclocheilus macrocephalus,20.8,NA
Sinocyclocheilus macrolepis,11.8,NA
Sinocyclocheilus macrophthalmus,4.7,NA
Sinocyclocheilus macroscalus,17.3,NA
Sinocyclocheilus maculatus,NA,NA
Sinocyclocheilus maitianheensis,9.4,NA
Sinocyclocheilus malacopterus,16.7,NA
Sinocyclocheilus mashanensis,NA,NA
Sinocyclocheilus microphthalmus,18.97,NA
Sinocyclocheilus multipunctatus,20.9,NA
Sinocyclocheilus oxycephalus,13,NA
Sinocyclocheilus purpureus,10.3,NA
Sinocyclocheilus qiubeiensis,12.06,NA
Sinocyclocheilus qujingensis,NA,NA
Sinocyclocheilus rhinocerous,9.7,NA
Sinocyclocheilus robustus,17,NA
Sinocyclocheilus tianlinensis,NA,NA
Sinocyclocheilus tileihornes,NA,NA
Sinocyclocheilus tingi,18.3,100
Sinocyclocheilus wui,NA,NA
Sinocyclocheilus wumengshanensis,12.8,NA
Sinocyclocheilus xichouensis,13.9,NA
Sinocyclocheilus xunlensis,NA,NA
Sinocyclocheilus yangzongensis,15,NA
Sinocyclocheilus yaolanensis,12.452,NA
Sinocyclocheilus yimenensis,NA,NA
Sinocyclocheilus yishanensis,18.34,NA
Sinogastromyzon chapaensis,NA,NA
Sinogastromyzon daduheensis,6.3,NA
Sinogastromyzon daon,NA,NA
Sinogastromyzon dezeensis,5.4,NA
Sinogastromyzon hagiangensis,NA,NA
Sinogastromyzon hexaocellum,NA,NA
Sinogastromyzon hsiashiensis,6.3,NA
Sinogastromyzon hypercorpus,NA,NA
Sinogastromyzon lixianjiangensis,4.95,NA
Sinogastromyzon macrostoma,5.83,NA
Sinogastromyzon maon,NA,NA
Sinogastromyzon minutus,NA,NA
Sinogastromyzon multiocellum,NA,NA
Sinogastromyzon namnaensis,NA,NA
Sinogastromyzon nanpanjiangensis,5.5,NA
Sinogastromyzon nantaiensis,4.47,NA
Sinogastromyzon puliensis,10,NA
Sinogastromyzon rugocauda,NA,NA
Sinogastromyzon sichangensis,2.95,NA
Sinogastromyzon szechuanensis,7.7,NA
Sinogastromyzon tonkinensis,3.8,NA
Sinogastromyzon wui,14,NA
Sio nordenskjoldii,12.3,NA
Siokunichthys bentuviai,6.1,NA
Siokunichthys breviceps,15,NA
Siokunichthys herrei,7.6,NA
Siokunichthys nigrolineatus,8,NA
Siokunichthys southwelli,4.3,NA
Siokunichthys striatus,9.28,NA
Siphamia arabica,3.39,NA
Siphamia argentea,5,NA
Siphamia brevilux,NA,NA
Siphamia cephalotes,5,NA
Siphamia corallicola,3.05,NA
Siphamia cuneiceps,NA,NA
Siphamia cyanophthalma,NA,NA
Siphamia elongata,4.5,NA
Siphamia fistulosa,4,NA
Siphamia fraseri,NA,NA
Siphamia fuscolineata,4,NA
Siphamia goreni,1.64,NA
Siphamia guttulata,NA,NA
Siphamia jebbi,2.48,NA
Siphamia majimai,3.5,NA
Siphamia mossambica,4,NA
Siphamia papuensis,NA,NA
Siphamia randalli,2.87,NA
Siphamia roseigaster,6.4,NA
Siphamia senoui,NA,NA
Siphamia spinicola,4,NA
Siphamia stenotes,NA,NA
Siphamia tubifer,7,NA
Siphamia tubulata,NA,NA
Siphateles alvordensis,14,NA
Siphateles bicolor,45,NA
Siphateles boraxobius,11,NA
Siphonognathus argyrophanes,40,NA
Siphonognathus attenuatus,12,NA
Siphonognathus beddomei,12,NA
Siphonognathus caninis,10,NA
Siphonognathus radiatus,18,NA
Siphonognathus tanyourus,11,NA
Siphonogobius nue,9.2,NA
Sirembo imberbis,20,NA
Sirembo jerdoni,12.5,NA
Sirembo metachroma,NA,NA
Sisor barakensis,NA,NA
Sisor chennuah,9.81,NA
Sisor pakistanicus,9.3,NA
Sisor rabdophorus,18,NA
Sisor rheophilus,15.5,NA
Sisor torosus,9.49,NA
Skiffia bilineata,4,NA
Skiffia francesae,5,NA
Skiffia lermae,5,NA
Skiffia multipunctata,5,NA
Skiotocharax meizon,3.21,NA
Skythrenchelys macrostomus,22.5,NA
Skythrenchelys zabra,29.6,NA
Sladenia remiger,40,NA
Sladenia shaefersi,28,NA
Sladenia zhui,65,NA
Smilosicyopus bitaeniatus,3.44,NA
Smilosicyopus chloe,5,NA
Smilosicyopus fehlmanni,5.1,NA
Smilosicyopus leprurus,4.14,NA
Smilosicyopus mystax,4.04,NA
Smilosicyopus pentecost,4.5,NA
Smilosicyopus sasali,5,NA
Smithichthys fucorum,30,NA
Snyderidia canina,26.8,NA
Snyderina guentheri,21.5,NA
Snyderina yamanokami,24,NA
Soldatovia polyactocephala,42,NA
Solea aegyptiaca,65,NA
Solea capensis,NA,NA
Solea elongata,30,NA
Solea heinii,NA,NA
Solea ovata,10,NA
Solea senegalensis,60,NA
Solea solea,70,3000
Solea stanalandi,12.3,NA
Solea turbynei,17,NA
Solegnathus dunckeri,NA,NA
Solegnathus hardwickii,40,NA
Solegnathus lettiensis,NA,NA
Solegnathus robustus,35,NA
Solegnathus spinosissimus,49,NA
Soleichthys dori,10.6,NA
Soleichthys heterorhinos,18,NA
Soleichthys maculosus,9.51,NA
Soleichthys microcephalus,22,NA
Soleichthys oculofasciatus,12.46,NA
Soleichthys serpenpellis,NA,NA
